Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,21980088.061524034,21980088.061524034,864000.0,0.0,1494344.727272727,328320.0,0.0,821889.5999999999,0.0,0.0,0.0
2020-02-29,17541772.720351156,39521860.78187519,864000.0,0.0,1395009.818181818,328320.0,0.0,767255.3999999999,0.0,0.0,0.0
2020-03-31,16758606.50159426,56280467.28346945,864000.0,0.0,1439237.4545454544,328320.0,0.0,791580.5999999999,0.0,0.0,0.0
2020-04-30,12386857.57687008,68667324.86033954,864000.0,0.0,1184853.8181818181,328320.0,0.0,651669.6,0.0,0.0,0.0
2020-05-31,11047776.19390056,79715101.0542401,295809.4736842105,0.0,1971035.9999999998,112407.59999999998,0.0,892800.0,0.0,0.0,347763.2727272725
2020-06-30,41917284.41016523,121632385.46440533,864000.0,864000.0,2592000.0,262272.6000000001,0.0,724069.7999999998,173808.94736842078,864000.0,1623272.7272727273
2020-07-31,18803875.258095704,140436260.72250104,864000.0,0.0,2592000.0,66047.3999999999,0.0,892800.0,864000.0,864000.0,2592000.0
2020-08-31,15583245.4521433,156019506.17464435,864000.0,0.0,1298243.9999999998,328320.0,0.0,714034.2,864000.0,864000.0,2592000.0
2020-09-30,19281853.151066918,175301359.32571128,864000.0,0.0,1236256.3636363635,328320.0,0.0,679941.0,864000.0,864000.0,2592000.0
2020-10-31,9326863.950263748,184628223.27597502,864000.0,0.0,262307.99999999977,328320.0,0.0,778683.5999999999,864000.0,864000.0,1438519.6363636365
2020-11-30,41304444.36732139,225932667.64329642,864000.0,0.0,2592000.0,328320.0,0.0,791185.8,864000.0,864000.0,2592000.0
2020-12-31,30610055.428039398,256542723.07133582,864000.0,0.0,1476741.8181818181,328320.0,0.0,812208.0,864000.0,864000.0,2592000.0
2021-01-31,0.0,256542723.07133582,0.0,0.0,0.0,328320.0,13923.59999999986,892800.0,0.0,821807.2727272732,968727.2727272727
2021-02-28,7692659.330708153,264235382.40204397,864000.0,0.0,67168.36363636341,328320.0,271196.40000000014,569742.5999999999,0.0,0.0,0.0
2021-03-31,52240793.484436736,316476175.8864807,864000.0,0.0,2592000.0,279524.3999999999,0.0,892800.0,128409.47368421068,0.0,968727.2727272727
2021-04-30,59198785.96889903,375674961.8553797,864000.0,0.0,2592000.0,234001.80000000005,0.0,864000.0,376615.2631578947,0.0,1989818.1818181819
2021-05-31,8248955.799247577,383923917.65462726,864000.0,0.0,0.0,328320.0,0.0,763798.2,376615.2631578947,0.0,601094.1818181821
2021-06-30,122340725.04940769,506264642.7040349,864000.0,864000.0,2592000.0,182416.19999999995,0.0,864000.0,760572.6315789474,864000.0,1622185.0909090913
2021-07-31,97409205.7258664,603673848.4299014,864000.0,0.0,2345294.181818181,289017.60000000003,0.0,756513.5999999999,864000.0,864000.0,2592000.0
2021-08-31,74855390.83685702,678529239.2667584,864000.0,0.0,1357520.727272727,328320.0,0.0,746636.3999999999,864000.0,864000.0,2592000.0
2021-09-30,105979073.58567733,784508312.8524358,864000.0,0.0,1370091.2727272727,328320.0,0.0,753550.2,864000.0,864000.0,2592000.0
2021-10-31,66209985.319528714,850718298.1719645,864000.0,864000.0,0.0,328320.0,285120.0,497334.0,864000.0,864000.0,1687756.3636363638
2021-11-30,215429481.22176957,1066147779.3937341,864000.0,864000.0,1911078.5454545454,328320.0,285120.0,553759.2,864000.0,864000.0,2592000.0
2021-12-31,56522679.74496003,1122670459.138694,864000.0,864000.0,0.0,328320.0,285120.0,631051.8,864000.0,864000.0,1444633.0909090908
2022-01-31,59225254.93862891,1181895714.077323,864000.0,864000.0,0.0,328320.0,285120.0,613754.3999999999,864000.0,864000.0,328716.00000000023
2022-02-28,68102780.3621505,1249998494.4394734,864000.0,0.0,603812.7272727271,328320.0,285120.0,512890.80000000005,864000.0,0.0,0.0
2022-03-31,215748700.66077313,1465747195.1002464,864000.0,864000.0,950129.4545454545,328320.0,285120.0,522571.19999999995,864000.0,0.0,0.0
2022-04-30,164830751.91641545,1630577947.016662,864000.0,864000.0,765615.2727272726,328320.0,285120.0,421088.3999999999,864000.0,0.0,0.0
2022-05-31,265497964.17776632,1896075911.1944282,864000.0,0.0,2486486.1818181816,328320.0,0.0,708918.0,864000.0,0.0,1197544.3636363635
2022-06-30,370969185.4160554,2267045096.6104836,864000.0,864000.0,2592000.0,328320.0,0.0,658649.3999999999,864000.0,864000.0,2592000.0
2022-07-31,197702015.9602685,2464747112.570752,864000.0,864000.0,589825.0909090907,328320.0,285120.0,324403.79999999993,864000.0,864000.0,2592000.0
2022-08-31,93563776.32566929,2558310888.8964214,864000.0,864000.0,0.0,328320.0,285120.0,405277.79999999993,864000.0,864000.0,1855131.272727273
2022-09-30,90588665.02859989,2648899553.925021,864000.0,864000.0,0.0,328320.0,285120.0,371536.79999999993,864000.0,864000.0,1179609.8181818186
2022-10-31,84133143.62859365,2733032697.5536146,864000.0,864000.0,0.0,328320.0,285120.0,415768.19999999995,864000.0,864000.0,423667.6363636368
2022-11-30,241610977.6214576,2974643675.175072,864000.0,864000.0,1391272.363636363,328320.0,285120.0,485311.80000000005,864000.0,864000.0,932554.909090909
2022-12-31,0.0,2974643675.175072,0.0,0.0,0.0,328320.0,285120.0,512905.19999999995,0.0,0.0,0.0
