fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought,generated,stored,bought,generated,stored,bought,generated,stored
Unnamed: 0,,,,,,,,,
2020-01-31,783157.8947368421,297600.0,0.0,0.0,0.0,0.0,1550198.1818181819,852609.0,0.0
2020-02-29,732631.5789473684,278400.0,0.0,0.0,0.0,0.0,1485772.7272727273,817175.0,0.0
2020-03-31,783157.8947368421,297600.0,0.0,0.0,0.0,0.0,1495090.909090909,822300.0,0.0
2020-04-30,601042.105263158,115989.0,295807.89473684214,0.0,0.0,0.0,1570909.0909090908,864000.0,0.0
2020-05-31,864000.0,112407.0,864000.0,864000.0,0.0,864000.0,2592000.0,892800.0,968727.2727272727
2020-06-30,321952.6315789474,122342.0,864000.0,0.0,0.0,864000.0,2592000.0,864000.0,1989818.1818181819
2020-07-31,173807.8947368421,66047.0,864000.0,0.0,0.0,864000.0,2225454.545454546,892800.0,2592000.0
2020-08-31,393563.15789473685,149554.0,864000.0,0.0,0.0,864000.0,1623272.7272727273,892800.0,2592000.0
2020-09-30,757894.7368421053,288000.0,864000.0,0.0,0.0,864000.0,1309565.4545454546,720261.0,2592000.0
2020-10-31,677052.6315789474,297600.0,757894.7368421053,0.0,0.0,864000.0,391469.0909090908,809403.0,1511827.2727272727
2020-11-30,864000.0,288000.0,864000.0,0.0,0.0,864000.0,2592000.0,831505.0,2592000.0
2020-12-31,783157.8947368421,297600.0,864000.0,0.0,0.0,864000.0,1532596.3636363635,842928.0,2592000.0
2021-01-31,545684.2105263158,297600.0,626526.3157894737,135281.81818181818,44643.0,864000.0,0.0,892800.0,968727.2727272727
2021-02-28,864000.0,268800.0,783157.8947368421,0.0,94059.0,578972.7272727273,2592000.0,806400.0,2094545.4545454546
2021-03-31,864000.0,297600.0,864000.0,0.0,0.0,578972.7272727273,2087861.8181818181,874724.0,2592000.0
2021-04-30,757894.7368421053,288000.0,864000.0,285027.2727272727,0.0,864000.0,1472729.0909090908,810001.0,2592000.0
2021-05-31,783157.8947368421,297600.0,864000.0,0.0,0.0,864000.0,1444578.1818181819,794518.0,2592000.0
2021-06-30,757894.7368421053,288000.0,864000.0,0.0,0.0,864000.0,1378938.1818181819,758416.0,2592000.0
2021-07-31,783157.8947368421,297600.0,864000.0,0.0,0.0,864000.0,1359874.5454545454,747931.0,2592000.0
2021-08-31,783157.8947368421,297600.0,864000.0,0.0,0.0,864000.0,1413374.5454545454,777356.0,2592000.0
2021-09-30,757894.7368421053,288000.0,864000.0,0.0,0.0,864000.0,1443400.0,793870.0,2592000.0
2021-10-31,358736.84210526326,297600.0,439578.9473684211,762345.4545454542,251573.99999999988,864000.0,0.0,561600.0000000001,1570909.0909090908
2021-11-30,864000.0,288000.0,545684.2105263158,0.0,15199.0,817942.4242424242,2592000.0,864000.0,2592000.0
2021-12-31,864000.0,297600.0,626526.3157894737,864000.0,269921.0,864000.0,0.0,676970.0,1361145.4545454546
2022-01-31,864000.0,297600.0,707368.4210526316,111496.9696969697,36794.0,864000.0,1728309.0909090908,892800.0,1466181.8181818181
2022-02-28,864000.0,268800.0,864000.0,154939.39393939395,51130.0,864000.0,2592000.0,806400.0,2592000.0
2022-03-31,490105.26315789483,297600.0,570947.3684210527,0.0,0.0,864000.0,0.0,838411.0,1067616.3636363638
2022-04-30,864000.0,288000.0,677052.6315789474,0.0,0.0,864000.0,1634503.6363636362,746528.0,1344796.3636363635
2022-05-31,864000.0,297600.0,757894.7368421053,0.0,0.0,864000.0,2592000.0,739638.0,2592000.0
2022-06-30,864000.0,288000.0,864000.0,0.0,0.0,864000.0,1270852.7272727273,698969.0,2592000.0
2022-07-31,0.0,297600.0,80842.10526315786,0.0,285120.0,0.0,0.0,355123.0,1946321.8181818184
2022-08-31,702315.7894736843,297600.0,0.0,864000.0,285120.0,0.0,0.0,435997.0,1153600.0000000002
2022-09-30,757894.7368421053,288000.0,0.0,864000.0,285120.0,0.0,0.0,411856.0,404770.9090909093
2022-10-31,783157.8947368421,297600.0,0.0,864000.0,285120.0,0.0,407025.45454545435,446488.0,0.0
2022-11-30,864000.0,288000.0,106105.26315789472,864000.0,285120.0,0.0,955692.7272727273,525631.0,0.0
2022-12-31,677052.6315789474,297600.0,0.0,864000.0,285120.0,0.0,988409.0909090908,543625.0,0.0
