Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,22185821.250605498,22185821.250605498,757900.0,0.0,1567649.0909090908,288002.0,0.0,862207.0,0.0,0.0,0.0
2020-02-29,18556128.43077434,40741949.68137984,757900.0,0.0,1571000.0,278400.0,0.0,817175.0,25268.421052631526,0.0,85227.27272727278
2020-03-31,17290410.879005965,58032360.56038581,757900.0,0.0,1571000.0,288002.0,0.0,831898.0,25268.421052631526,0.0,143685.45454545465
2020-04-30,14427954.313061047,72460314.87344685,757900.0,0.0,1571000.0,288000.0,0.0,691989.0,25273.684210526208,0.0,456523.6363636365
2020-05-31,32039533.885066297,104499848.75851315,757900.0,872730.0,1571000.0,288002.0,0.0,717205.0,25273.684210526208,872730.0,723514.5454545456
2020-06-30,12338079.454436785,116837928.21294993,757900.0,0.0,1571000.0,288000.0,0.0,698342.0,25278.94736842089,872730.0,1024801.8181818184
2020-07-31,12724189.768398732,129562117.98134866,757900.0,0.0,1571000.0,94796.99999999988,0.0,864050.0000000001,533713.157894737,872730.0,1024801.8181818184
2020-08-31,17223116.840268172,146785234.82161683,757900.0,0.0,1571000.0,288002.0,0.0,754352.0,533713.157894737,872730.0,1224252.7272727275
2020-09-30,22470910.879451383,169256145.70106822,757900.0,0.0,1571000.0,222019.00000000003,0.0,786242.0,707352.6315789474,872730.0,1365721.8181818186
2020-10-31,27183202.735396035,196439348.43646425,757900.0,0.0,1571000.0,288002.0,0.0,819001.0,707352.6315789474,872730.0,1447629.0909090913
2020-11-30,26444429.176186264,222883777.6126505,757900.0,0.0,1571000.0,288000.0,0.0,831505.0,707357.8947368421,872730.0,1506801.8181818186
2020-12-31,31360695.837168105,254244473.4498186,757900.0,0.0,1571000.0,288002.0,0.0,852526.0,707357.8947368421,872730.0,1527754.5454545459
2021-01-31,43677528.111406,297922001.5612246,757900.0,251487.87878787844,1411156.3636363633,288002.0,82990.99999999988,864050.0000000001,707357.8947368421,872730.0,1367910.909090909
2021-02-28,32939648.971219216,330861650.5324438,757900.0,0.0,1571000.0,268800.0,94059.0,806400.0,757889.4736842106,587702.7272727273,1472729.0909090908
2021-03-31,33459642.42143125,364321292.95387506,757900.0,0.0,1571000.0,288002.0,20271.999999999884,864050.0000000001,757889.4736842106,526272.4242424247,1472729.0909090908
2021-04-30,52022882.248775214,416344175.2026503,757900.0,346457.57575757534,1571000.0,288000.0,0.0,810001.0,757894.7368421053,872730.0,1571000.0
2021-05-31,43685304.97806213,460029480.18071246,757900.0,0.0,1462029.0909090908,288002.0,0.0,804116.0,757894.7368421053,872730.0,1571000.0
2021-06-30,49384987.15116815,509414467.3318806,757900.0,0.0,1378938.1818181819,288000.0,0.0,758416.0,757900.0,872730.0,1571000.0
2021-07-31,60910616.94183732,570325084.273718,757900.0,0.0,1377325.4545454546,288002.0,0.0,757529.0,757900.0,872730.0,1571000.0
2021-08-31,76343093.157972,646668177.43169,757900.0,0.0,1430825.4545454546,288002.0,0.0,786954.0,757900.0,872730.0,1571000.0
2021-09-30,108622805.33717208,755290982.768862,757894.7368421053,0.0,1443400.0,288000.0,0.0,793870.0,757900.0,872730.0,1571000.0
2021-10-31,104996810.38042684,860287793.1492889,707363.1578947369,872730.0,476218.36363636353,288002.0,288000.9,534771.1,707363.1578947369,872730.0,1074907.2727272727
2021-11-30,186177293.29089445,1046465086.4401834,757900.0,872727.2727272727,1571000.0,288000.0,288000.0,591199.0,707368.4210526316,872730.0,1571000.0
2021-12-31,55300715.553199455,1101765801.993383,757900.0,872730.0,0.0,288002.0,288000.9,668488.1,707368.4210526316,872730.0,355567.090909091
2022-01-31,191208340.05776447,1292974142.0511475,757900.0,872730.0,1571000.0,288002.0,288000.9,651191.1,707368.4210526316,872730.0,742583.2727272729
2022-02-28,190975126.14882824,1483949268.1999757,757900.0,814545.4545454546,1571000.0,268800.0,268800.0,588730.0,757900.0,872730.0,1243165.090909091
2022-03-31,87069796.96492931,1571019065.164905,757889.4736842106,872730.0,0.0,288002.0,288000.9,560008.1,757889.4736842106,872730.0,224968.54545454565
2022-04-30,243240059.6304035,1814259124.7953086,757900.0,872727.2727272727,1571000.0,288000.0,288000.0,458528.0,757894.7368421053,872730.0,962281.2727272729
2022-05-31,186933191.72088027,2001192316.5161889,757900.0,166364.5454545449,1571000.0,288002.0,54900.299999999814,694335.7000000002,757894.7368421053,872730.0,1270852.7272727273
2022-06-30,196893889.4908956,2198086206.0070844,757900.0,0.0,1571000.0,288000.0,0.0,698969.0,757900.0,872730.0,1571000.0
2022-07-31,107873038.13107039,2305959244.138155,0.0,0.0,635418.5454545454,288002.0,288000.9,361840.1,0.0,0.0,1548527.4545454546
2022-08-31,89860393.73578186,2395819637.8739367,757900.0,872730.0,0.0,288002.0,288000.9,442714.1,0.0,0.0,743592.7272727273
2022-09-30,87029986.19895636,2482849624.072893,757894.7368421053,872730.0,0.0,288000.0,288000.0,408976.0,0.0,2.7272727272804786,0.0
2022-10-31,194896048.21742326,2677745672.2903166,757900.0,872727.2727272727,824009.2727272727,288002.0,288000.9,453205.1,0.0,0.0,0.0
2022-11-30,187580606.1459951,2865326278.4363117,757900.0,872727.2727272727,950456.3636363636,288000.0,288000.0,522751.0,5.2631578946829904,0.0,0.0
2022-12-31,187214745.0465232,3052541023.482835,757894.7368421053,872730.0,1000621.9999999999,288002.0,288000.9,550342.1,0.0,0.0,0.0
