Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,18491788.153440915,18491788.153440915,783157.8947368421,0.0,1550198.1818181819,297600.0,0.0,852609.0,0.0,0.0,0.0
2020-02-29,14787058.1338717,33278846.287312616,685197.3684210527,0.0,1518545.4545454546,260375.0,0.0,835200.0,0.0,0.0,0.0
2020-03-31,14039303.95490775,47318150.242220365,597631.5789473684,0.0,1623272.7272727273,227100.0,0.0,892800.0,0.0,0.0,0.0
2020-04-30,11421878.719225833,58740028.961446196,601042.105263158,0.0,1570909.0909090908,115989.0,0.0,864000.0,295807.89473684214,0.0,0.0
2020-05-31,33013367.383781664,91753396.34522787,864000.0,864000.0,2592000.0,112407.0,0.0,892800.0,864000.0,864000.0,968727.2727272728
2020-06-30,12703519.48520066,104456915.83042853,321952.6315789474,0.0,2592000.0,122342.0,0.0,864000.0,864000.0,864000.0,1989818.181818182
2020-07-31,10508393.177504405,114965309.00793293,173807.8947368421,0.0,2225454.5454545454,66047.0,0.0,892800.0,864000.0,864000.0,2592000.0
2020-08-31,12846492.090538112,127811801.09847105,393563.15789473685,0.0,1623272.7272727273,149554.0,0.0,892800.0,864000.0,864000.0,2592000.0
2020-09-30,16357950.761323417,144169751.85979447,757894.7368421053,0.0,1309565.4545454546,288000.0,0.0,720261.0,864000.0,864000.0,2592000.0
2020-10-31,8702010.805593634,152871762.6653881,677052.6315789474,0.0,391469.0909090908,297600.0,0.0,809403.0,757894.7368421053,864000.0,1511827.2727272727
2020-11-30,33927709.91966356,186799472.58505166,864000.0,0.0,2592000.0,288000.0,0.0,831505.0,864000.0,864000.0,2592000.0
2020-12-31,25730022.78329028,212529495.36834192,783157.8947368421,0.0,1532596.3636363635,297600.0,0.0,842928.0,864000.0,864000.0,2592000.0
2021-01-31,8638197.60769388,221167692.9760358,545684.2105263158,135281.81818181818,0.0,297600.0,44643.0,892800.0,626526.3157894737,864000.0,968727.2727272728
2021-02-28,42251404.11171411,263419097.0877499,864000.0,0.0,2592000.0,268800.0,94059.0,806400.0,783157.8947368421,578972.7272727273,2094545.4545454546
2021-03-31,35821945.78195334,299241042.86970323,864000.0,0.0,2087861.8181818181,297600.0,0.0,874724.0,864000.0,578972.7272727273,2592000.0
2021-04-30,40453741.73165007,339694784.6013533,757894.7368421053,285027.2727272727,1472729.0909090908,288000.0,0.0,810001.0,864000.0,864000.0,2592000.0
2021-05-31,36064222.89959682,375759007.5009501,783157.8947368421,0.0,1444578.1818181819,297600.0,0.0,794518.0,864000.0,864000.0,2592000.0
2021-06-30,41085190.406076655,416844197.90702677,757894.7368421053,0.0,1378938.1818181819,288000.0,0.0,758416.0,864000.0,864000.0,2592000.0
2021-07-31,50492707.86762902,467336905.7746558,783157.8947368421,0.0,1359874.5454545454,297600.0,0.0,747931.0,864000.0,864000.0,2592000.0
2021-08-31,63017491.49127345,530354397.2659293,783157.8947368421,0.0,1413374.5454545454,297600.0,0.0,777356.0,864000.0,864000.0,2592000.0
2021-09-30,89458285.74812347,619812683.0140527,757894.7368421053,0.0,1443400.0,288000.0,0.0,793870.0,864000.0,864000.0,2592000.0
2021-10-31,9401278.560204243,629213961.574257,358736.8421052633,0.0,0.0,297600.0,0.0,813174.0,439578.9473684212,864000.0,1113501.8181818181
2021-11-30,184215317.95035666,813429279.5246136,864000.0,0.0,2592000.0,288000.0,15199.0,864000.0,545684.2105263158,817942.4242424242,2134592.7272727275
2021-12-31,22707558.641671576,836136838.1662852,864000.0,209969.69696969702,0.0,297600.0,54091.0,892800.0,626526.3157894737,864000.0,511320.00000000023
2022-01-31,194905311.90179387,1031042150.068079,864000.0,111496.9696969697,2578134.545454545,297600.0,36794.0,892800.0,707368.4210526316,864000.0,1466181.8181818181
2022-02-28,196087981.2731328,1227130131.3412118,864000.0,154939.39393939395,2592000.0,268800.0,51130.0,806400.0,864000.0,864000.0,2592000.0
2022-03-31,18885537.947633836,1246015669.2888455,490105.26315789483,0.0,0.0,297600.0,0.0,838411.0,570947.3684210527,864000.0,1067616.3636363638
2022-04-30,161961132.7506642,1407976802.0395098,864000.0,0.0,1634503.6363636362,288000.0,0.0,746528.0,677052.6315789474,864000.0,1344796.3636363635
2022-05-31,225722975.22805214,1633699777.267562,864000.0,0.0,2592000.0,297600.0,0.0,739638.0,757894.7368421053,864000.0,2592000.0
2022-06-30,140794956.67219776,1774494733.9397597,864000.0,0.0,1270852.7272727273,288000.0,0.0,698969.0,864000.0,864000.0,2592000.0
2022-07-31,0.0,1774494733.9397597,0.0,0.0,0.0,297600.0,285120.0,355123.0,80842.10526315783,0.0,1946321.8181818181
2022-08-31,81478339.17213231,1855973073.111892,702315.7894736843,864000.0,0.0,297600.0,285120.0,435997.0,0.0,0.0,1153600.0
2022-09-30,81014788.2316926,1936987861.3435845,757894.7368421053,864000.0,0.0,288000.0,285120.0,411856.0,0.0,0.0,404770.90909090906
2022-10-31,121155467.86011449,2058143329.203699,783157.8947368421,864000.0,407025.4545454546,297600.0,285120.0,446488.0,0.0,0.0,0.0
2022-11-30,159512411.12546608,2217655740.329165,864000.0,0.0,1474092.7272727273,288000.0,0.0,810751.0,106105.26315789469,0.0,0.0
2022-12-31,155786868.07968748,2373442608.4088526,677052.6315789474,864000.0,988409.0909090908,297600.0,285120.0,543625.0,0.0,0.0,0.0
